"action","score","file","title","category","bodyLines","bodyChars","steps","avgStepBodyChars","sources","generatedBatch","issues"
"улучшить","60","src/content/errors/ac-heating-daikin-air-conditioner-bad-smell.mdx","Daikin air conditioner: появился запах или гарь","Кондиционеры и обогрев","8","1300","6","208","4","no","body has only 8 non-empty lines; body has only 1300 characters"
"улучшить","60","src/content/errors/ac-heating-daikin-air-conditioner-does-not-drain.mdx","Daikin air conditioner: не сливает воду","Кондиционеры и обогрев","8","1293","6","209","4","no","body has only 8 non-empty lines; body has only 1293 characters"
"улучшить","60","src/content/errors/ac-heating-daikin-air-conditioner-does-not-heat.mdx","Daikin air conditioner: не греет","Кондиционеры и обогрев","8","1279","6","206","4","no","body has only 8 non-empty lines; body has only 1279 characters"
"улучшить","60","src/content/errors/ac-heating-daikin-air-conditioner-error-code.mdx","Daikin air conditioner: показывает код ошибки","Кондиционеры и обогрев","8","1305","6","211","4","no","body has only 8 non-empty lines; body has only 1305 characters"
"улучшить","60","src/content/errors/ac-heating-daikin-air-conditioner-leaks-water.mdx","Daikin air conditioner: протекает","Кондиционеры и обогрев","8","1281","6","207","4","no","body has only 8 non-empty lines; body has only 1281 characters"
"улучшить","60","src/content/errors/ac-heating-daikin-air-conditioner-makes-noise.mdx","Daikin air conditioner: шумит или вибрирует","Кондиционеры и обогрев","8","1287","6","205","4","no","body has only 8 non-empty lines; body has only 1287 characters"
"улучшить","60","src/content/errors/ac-heating-daikin-air-conditioner-stops-mid-cycle.mdx","Daikin air conditioner: останавливается во время работы","Кондиционеры и обогрев","8","1325","6","214","4","no","body has only 8 non-empty lines; body has only 1325 characters"
"улучшить","60","src/content/errors/ac-heating-daikin-air-conditioner-wont-turn-on.mdx","Daikin air conditioner: не включается","Кондиционеры и обогрев","8","1289","6","208","4","no","body has only 8 non-empty lines; body has only 1289 characters"
"улучшить","60","src/content/errors/ac-heating-lg-air-conditioner-bad-smell.mdx","LG air conditioner: появился запах или гарь","Кондиционеры и обогрев","8","1296","6","208","4","no","body has only 8 non-empty lines; body has only 1296 characters"
"улучшить","60","src/content/errors/ac-heating-lg-air-conditioner-does-not-drain.mdx","LG air conditioner: не сливает воду","Кондиционеры и обогрев","8","1289","6","208","4","no","body has only 8 non-empty lines; body has only 1289 characters"
"улучшить","60","src/content/errors/ac-heating-lg-air-conditioner-does-not-heat.mdx","LG air conditioner: не греет","Кондиционеры и обогрев","8","1275","6","206","4","no","body has only 8 non-empty lines; body has only 1275 characters"
"улучшить","60","src/content/errors/ac-heating-lg-air-conditioner-error-code.mdx","LG air conditioner: показывает код ошибки","Кондиционеры и обогрев","8","1301","6","210","4","no","body has only 8 non-empty lines; body has only 1301 characters"
"улучшить","60","src/content/errors/ac-heating-lg-air-conditioner-leaks-water.mdx","LG air conditioner: протекает","Кондиционеры и обогрев","8","1277","6","206","4","no","body has only 8 non-empty lines; body has only 1277 characters"
"улучшить","60","src/content/errors/ac-heating-lg-air-conditioner-makes-noise.mdx","LG air conditioner: шумит или вибрирует","Кондиционеры и обогрев","8","1283","6","205","4","no","body has only 8 non-empty lines; body has only 1283 characters"
"улучшить","60","src/content/errors/ac-heating-lg-air-conditioner-stops-mid-cycle.mdx","LG air conditioner: останавливается во время работы","Кондиционеры и обогрев","8","1321","6","213","4","no","body has only 8 non-empty lines; body has only 1321 characters"
"улучшить","60","src/content/errors/ac-heating-lg-air-conditioner-wont-turn-on.mdx","LG air conditioner: не включается","Кондиционеры и обогрев","8","1285","6","207","4","no","body has only 8 non-empty lines; body has only 1285 characters"
"улучшить","60","src/content/errors/ac-heating-mitsubishi-electric-ac-bad-smell.mdx","Mitsubishi Electric кондиционер: появился запах или гарь","Кондиционеры и обогрев","8","1309","6","210","4","no","body has only 8 non-empty lines; body has only 1309 characters"
"улучшить","60","src/content/errors/ac-heating-mitsubishi-electric-ac-does-not-drain.mdx","Mitsubishi Electric кондиционер: не сливает воду","Кондиционеры и обогрев","8","1302","6","210","4","no","body has only 8 non-empty lines; body has only 1302 characters"
"улучшить","60","src/content/errors/ac-heating-mitsubishi-electric-ac-does-not-heat.mdx","Mitsubishi Electric кондиционер: не греет","Кондиционеры и обогрев","8","1288","6","208","4","no","body has only 8 non-empty lines; body has only 1288 characters"
"улучшить","60","src/content/errors/ac-heating-mitsubishi-electric-ac-error-code.mdx","Mitsubishi Electric кондиционер: показывает код ошибки","Кондиционеры и обогрев","8","1314","6","212","4","no","body has only 8 non-empty lines; body has only 1314 characters"
